,Unnamed: 0,video_id,video_title,upload_date,view_count,like_count,comment_count,mean_weighted_sentiment_score,median_weighted_sentiment_score,std_weighted_sentiment_score,sentiment_label,days_since_upload,views_per_day,comment_count_per_day
117,118,hqNw6WsmZeI,Why I’m not selling NFT’s ever again…,2022-01-31,435588,15715,268,-0.1687903635881164,0.0990897566080092,0.5654439457944724,Negative,277.0,1572.52,0.97
118,119,Nbrj0tIVXb0,How I built a tablet farm that makes me money…,2022-01-28,13609004,584782,4414,-0.1442531075985692,0.1179753065109253,0.5270064147607257,Negative,280.0,48603.59,15.76
119,120,H-XflV-5OyI,It took me 1 year to get 1k YouTube subs… 😭,2022-01-27,144452,8454,69,0.5186748589530136,0.767646074295044,0.5473948934912019,Positive,281.0,514.06,0.25
120,121,uEaXu1m4R5Y,How much my Pokémon cards investment is worth 💰,2022-01-26,14570731,874614,2566,-0.0264100776601162,0.133450549840927,0.5163930072841709,Neutral,282.0,51669.26,9.1
121,122,3S7lqhdaOZw,I Paid Fiverr Video Editors To Make A Commercial,2022-01-25,1744928,121666,2473,0.1907998670439717,0.1446276307106018,0.5604842796268058,Positive,283.0,6165.82,8.74
122,123,I4f0lEcZQII,At 25yo I was doing $100k per month on eBay,2022-01-24,521855,27326,164,-0.0596761697596246,0.1394372463226318,0.611306145494996,Neutral,284.0,1837.52,0.58
123,124,MIIWbM_JkeI,I tried the print on demand t-shirt side hustle,2022-01-20,104785,5802,40,0.3925231625636418,0.1810834527015686,0.5463575739569118,Positive,288.0,363.84,0.14
124,125,K3cM2bwWwLw,How I&#39;ve Been Doubling My Money With NFT&#39;s,2022-01-19,27500,809,53,0.1095136872359684,0.1377324938774109,0.774684274107039,Positive,289.0,95.16,0.18
125,126,UhiSRuk7Lfw,I tried making $ with smaller NFT projects…,2022-01-18,141519,6120,83,-0.0867480765890192,0.1151203989982604,0.6258873485765586,Neutral,290.0,488.0,0.29
126,127,owD-CiSL80Y,How much I made selling dollar store items online…,2022-01-17,1452106,85132,493,-0.447015326901486,-0.7296043634414673,0.5663524258234983,Negative,291.0,4990.05,1.69
127,129,FzYz_NPwtq0,My New Money Printing Tablet Farm,2022-01-07,225342,11572,245,0.0957301172083371,0.1520034849643706,0.4256123696033856,Neutral,301.0,748.64,0.81
128,130,vraQBntRrPE,Trying to turn $0 into $10k from scratch 💰,2021-10-28,4715317,245725,1026,-0.1717375876325549,0.1076916933059692,0.5576806024426458,Negative,372.0,12675.58,2.76
129,131,erni261z5wU,I tried flipping NFTs… here’s how much I made.,2021-10-27,4474616,168062,1917,-0.2735110710289167,-0.4688828587532043,0.5624443752083487,Negative,373.0,11996.29,5.14
130,132,6hfjCpnlzDc,I tried finding profitable sneakers at Kohl’s 😖,2021-10-20,650797,39161,150,-0.0986941225661171,0.1092305719852446,0.6206899370942497,Neutral,380.0,1712.62,0.39
131,133,U1-PcDFMq4s,Dropshipping From A Cabin In The Woods (24HR Challenge),2021-10-15,13284,763,44,0.4837064023371096,0.8685603737831116,0.6425992714808217,Positive,385.0,34.5,0.11
132,135,Euqcd4OmycE,Were these brand names from Fiverr worth $50? 😖,2021-10-07,48474,1698,63,0.0947204325880323,0.1482229232788086,0.5198456950162371,Neutral,393.0,123.34,0.16
133,137,6srUHtjuqaU,10k today or 1 Bitcoin in 5 years? (on Omegle…),2021-10-05,46069,1464,38,0.2054568770527839,0.140459644794464,0.4486334497624326,Positive,395.0,116.63,0.1
134,139,bGMNgiIN6Wg,The Trick To The YouTube Shorts Algorithm…,2021-09-30,71412,4313,70,0.2605693059662978,0.1575970709323882,0.6458686419671584,Positive,400.0,178.53,0.18
135,140,aTX1ICVgCBg,My first product I designed  manufactured 😖,2021-09-29,35346,2185,65,0.3478144404788812,0.331122663617134,0.5818329481632339,Positive,401.0,88.14,0.16
136,142,MReS_0n_O_w,My Day As A Small YouTuber Trying To Make It (Raw Footage),2021-09-25,4019,158,40,0.5771151504733345,0.7710647284984589,0.4768754270793273,Positive,405.0,9.92,0.1
137,151,tGgbRYqcWd8,I Bought A Billboard To Grow My Instagram,2021-09-07,4684,332,31,0.4510935018459955,0.8414880335330963,0.647130947813753,Positive,423.0,11.07,0.07
138,153,2yn9Pa2W_3w,I got thumbnail advice from MrBeast 😏,2021-09-02,532261,45826,225,-0.1475968308108193,0.0840056777000427,0.7072256542174885,Negative,428.0,1243.6,0.53
